,date,CNTY_NM,xco2
8096,2019-08-07,Knox,407.0606843346137
8097,2019-08-07,Lipscomb,407.70028800314924
8098,2019-08-07,Llano,405.89038028635764
8099,2019-08-07,Nueces,405.2859032526612
8100,2019-08-07,San Saba,407.4741812092402
8101,2019-08-07,Shackelford,404.22029976200844
8102,2019-08-07,Throckmorton,405.41601762451023
8103,2019-08-07,Wheeler,406.99872751868077
8104,2019-08-07,Willacy,404.95945237732184
8105,2019-08-07,Wilson,404.0124549646862
8106,2019-08-09,Panola,407.4523652282854
8107,2019-08-12,Castro,407.8962024644657
8108,2019-08-12,Crockett,406.50955521893894
8109,2019-08-12,Dallam,411.05256930581834
8110,2019-08-12,Dawson,410.1297468389189
8111,2019-08-12,Deaf Smith,407.47753689186527
8112,2019-08-12,Glasscock,408.7916423560347
8113,2019-08-12,Hartley,407.41700812432805
8114,2019-08-12,Hockley,408.0960679857526
8115,2019-08-12,Lamb,406.869510091686
8116,2019-08-12,Martin,409.82176558048064
8117,2019-08-12,Midland,406.57081990502775
8118,2019-08-12,Oldham,406.6159618237326
8119,2019-08-12,Parmer,407.1111804531778
8120,2019-08-12,Reagan,405.39674106791307
8121,2019-08-12,Terry,408.348820772607
8122,2019-08-12,Val Verde,407.1096715990514
8123,2019-08-13,Gray,406.3840026855469
8124,2019-08-14,Borden,405.06156414888704
8125,2019-08-14,Castro,410.42132264313597
8126,2019-08-14,Dallam,405.7748856631896
8127,2019-08-14,Deaf Smith,409.28183828809244
8128,2019-08-14,Glasscock,404.8455011798069
8129,2019-08-14,Hale,409.88063608268413
8130,2019-08-14,Hartley,405.06297867096055
8131,2019-08-14,Howard,405.0484894383929
8132,2019-08-14,Irion,407.8375697586565
8133,2019-08-14,Lamb,410.61475216834384
8134,2019-08-14,Lubbock,409.88527708625617
8135,2019-08-14,Lynn,408.6376160072784
8136,2019-08-14,Oldham,406.5317802799299
8137,2019-08-14,Sterling,405.59252285712154
8138,2019-08-14,Tom Green,406.6990319794665
8139,2019-08-14,Webb,404.82655094820075
8140,2019-08-14,Zapata,404.35740515461254
8141,2019-08-14,Zavala,406.9832544988266
8142,2019-08-16,Anderson,403.8245853735134
8143,2019-08-16,Chambers,407.3788711268987
8144,2019-08-16,Fannin,405.4580267105814
8145,2019-08-16,Harris,410.5841967237877
8146,2019-08-16,Henderson,405.9173494702341
8147,2019-08-16,Houston,406.5878340043128
8148,2019-08-16,Hunt,404.68100582827526
8149,2019-08-16,Montgomery,407.50591249046164
8150,2019-08-16,Rains,405.4430107879896
8151,2019-08-16,San Jacinto,407.1674175065709
8152,2019-08-16,Trinity,408.1220637696485
8153,2019-08-16,Van Zandt,405.7982070514058
8154,2019-08-18,Camp,405.1804426126182
8155,2019-08-18,Harrison,405.3404052934513
8156,2019-08-18,Jasper,409.45526416180655
8157,2019-08-18,Jefferson,408.8666276901119
8158,2019-08-18,Morris,406.0028364793176
8159,2019-08-18,Nacogdoches,407.05648966000547
8160,2019-08-18,Panola,405.8532484467267
8161,2019-08-18,Red River,405.9770345379612
8162,2019-08-18,Rusk,402.6715566093723
8163,2019-08-18,San Augustine,409.4444094724687
8164,2019-08-18,Shelby,408.2257879557661
8165,2019-08-18,Titus,405.84363663443725
8166,2019-08-18,Upshur,406.27823824145116
8167,2019-08-21,Andrews,405.6134664630196
8168,2019-08-21,Crane,405.60784575063735
8169,2019-08-21,Ector,405.32215364062444
8170,2019-08-21,Gaines,407.13942144066095
8171,2019-08-21,Pecos,406.1634964374308
8172,2019-08-21,Terrell,407.3940186588242
8173,2019-08-21,Winkler,404.79343814970275
8174,2019-08-23,Colorado,409.4612118529363
8175,2019-08-23,Falls,404.5258290716447
8176,2019-08-23,Johnson,406.6871816145354
8177,2019-08-23,Lee,406.6986051232864
8178,2019-08-23,Milam,403.9633473548204
8179,2019-08-23,Tarrant,407.73790983837984
8180,2019-08-25,Freestone,405.9927347892274
8181,2019-08-25,Gray,405.2472839355469
8182,2019-08-25,Henderson,405.91947035863996
8183,2019-08-25,Kaufman,407.2539746024025
8184,2019-08-25,Leon,407.19022191214293
8185,2019-08-25,Madison,407.1199207963353
8186,2019-08-25,Montgomery,407.4013268109411
8187,2019-08-25,Navarro,405.5428094517915
8188,2019-08-25,Walker,405.38502868176215
8189,2019-08-26,Culberson,409.31894819346047
8190,2019-08-26,Jeff Davis,408.4186036247346
8191,2019-08-26,Presidio,408.9499389974145
8192,2019-08-30,Bee,404.44008191116154
8193,2019-08-30,Burnet,409.8521894775331
8194,2019-08-30,Comanche,408.0955922189686
8195,2019-08-30,Eastland,404.8709829692684
8196,2019-08-30,Karnes,405.14331798207155
8197,2019-08-30,Kenedy,404.91604972082905
8198,2019-08-30,Kleberg,410.94585321843624
8199,2019-08-30,Lampasas,409.70008213710236
8200,2019-08-30,Mills,405.588715026776
8201,2019-08-30,San Patricio,405.5021347344986
8202,2019-08-30,San Saba,409.8318313481286
8203,2019-09-02,El Paso,408.0402166278952
8204,2019-09-04,Hudspeth,406.82520152273236
8205,2019-09-04,Potter,404.6485900878906
8206,2019-09-06,Armstrong,405.59769224594623
8207,2019-09-06,Briscoe,406.5533576067537
8208,2019-09-06,Carson,404.8026878480436
8209,2019-09-06,Coke,404.2860855406616
8210,2019-09-06,Concho,403.31310010515153
8211,2019-09-06,Dickens,407.40423775367583
8212,2019-09-06,Donley,407.71763619536966
8213,2019-09-06,Edwards,408.46841875463724
8214,2019-09-06,Fisher,406.2268702823314
8215,2019-09-06,Frio,405.4204887674692
8216,2019-09-06,Gray,404.3704833984375
8217,2019-09-06,Hall,407.0528448210098
8218,2019-09-06,Hansford,405.0232071842236
8219,2019-09-06,Hutchinson,405.29846731434634
8220,2019-09-06,Jim Hogg,405.5198611846815
8221,2019-09-06,Kent,407.4370717043402
8222,2019-09-06,Kerr,404.6314861625434
8223,2019-09-06,Kimble,405.0535828118091
8224,2019-09-06,La Salle,405.81797381762317
8225,2019-09-06,Menard,406.5488537889905
8226,2019-09-06,Motley,407.5496822080918
8227,2019-09-06,Nolan,404.8314660922774
8228,2019-09-06,Real,406.21399345648723
8229,2019-09-06,Runnels,406.3385473273229
8230,2019-09-06,Starr,406.21166917844675
8231,2019-09-06,Stonewall,407.17585216043517
8232,2019-09-06,Tom Green,406.66848023344454
8233,2019-09-06,Uvalde,405.54858320060055
8234,2019-09-06,Webb,405.0005413486983
8235,2019-09-06,Zapata,406.7509327017303
8236,2019-09-06,Zavala,408.0270300619304
8237,2019-09-08,Atascosa,405.187684657943
8238,2019-09-08,Bandera,407.4645888370772
8239,2019-09-08,Bexar,404.96856284638244
8240,2019-09-08,Brooks,406.03398718469015
8241,2019-09-08,Callahan,404.29475534594906
8242,2019-09-08,Cameron,403.4052573842928
8243,2019-09-08,Childress,406.2430242088456
8244,2019-09-08,Coleman,404.6951621308221
8245,2019-09-08,Cottle,407.9461847568917
8246,2019-09-08,Duval,401.2931021861731
8247,2019-09-08,Gillespie,403.9447715816398
8248,2019-09-08,Gray,403.62335621958243
8249,2019-09-08,Haskell,405.80646981695844
8250,2019-09-08,Jim Wells,404.2382977247514
8251,2019-09-08,Jones,404.5866412616916
8252,2019-09-08,Kendall,408.07932964526117
8253,2019-09-08,Kenedy,405.8256872667698
8254,2019-09-08,Kerr,403.6141399410553
8255,2019-09-08,King,406.6408712931566
8256,2019-09-08,Knox,407.2769869318498
8257,2019-09-08,Mason,403.4984467580216
8258,2019-09-08,McCulloch,404.2101308269511
8259,2019-09-08,McMullen,405.9382772538811
8260,2019-09-08,Ochiltree,408.70942078375566
8261,2019-09-08,Roberts,407.59954173418305
8262,2019-09-08,Taylor,403.4461717310478
8263,2019-09-08,Willacy,403.6904610984493
8264,2019-09-10,Bowie,406.20709834102956
8265,2019-09-10,Cass,404.9835594681402
8266,2019-09-10,Harrison,405.589290451081
8267,2019-09-10,Panola,407.73383949360834
8268,2019-09-10,Sabine,408.3981337699745
8269,2019-09-10,Shelby,408.28816220451745
8270,2019-09-15,Borden,406.2732772581512
8271,2019-09-15,Castro,406.1759937030729
8272,2019-09-15,Dallam,403.5281308460981
8273,2019-09-15,Dimmit,403.91559278677136
8274,2019-09-15,Edwards,405.4791208720217
8275,2019-09-15,Garza,405.91384943885106
8276,2019-09-15,Hale,405.83266814650557
8277,2019-09-15,Howard,405.15898849422996
8278,2019-09-15,Irion,408.07854537361936
8279,2019-09-15,Kinney,406.81546386444893
8280,2019-09-15,Lubbock,405.8898318492408
8281,2019-09-15,Lynn,404.4632139419647
8282,2019-09-15,Maverick,405.9114887948251
8283,2019-09-15,Schleicher,407.5029533851193
8284,2019-09-15,Sterling,406.07220383689685
8285,2019-09-15,Sutton,407.4370190210175
8286,2019-09-15,Swisher,406.9678989859919
8287,2019-09-15,Webb,407.0810149035727
8288,2019-09-17,Fannin,405.9862180188897
8289,2019-09-17,Hunt,404.4215328671705
8290,2019-09-17,Rains,408.00868373480625
8291,2019-09-17,Van Zandt,402.3582899078195
8292,2019-09-20,Brewster,405.1495229207397
8293,2019-09-20,Loving,402.1592176286503
8294,2019-09-20,Pecos,406.8813270552912
8295,2019-09-20,Reeves,406.1234649270773
8296,2019-09-20,Ward,404.2100257402848
8297,2019-09-20,Winkler,403.5829827088215
8298,2019-09-22,Andrews,407.2190750148436
8299,2019-09-22,Ector,405.74361628387123
8300,2019-09-22,Pecos,407.3872056324035
8301,2019-09-22,Potter,405.018798828125
8302,2019-09-22,Terrell,407.87365287542343
8303,2019-09-22,Ward,404.6629640340273
8304,2019-09-22,Winkler,406.83915250229876
8305,2019-09-24,Burleson,404.09604320302606
8306,2019-09-24,Colorado,404.69559484556544
8307,2019-09-24,Falls,407.67008830060036
8308,2019-09-24,Fayette,406.1056126374752
8309,2019-09-24,Hill,405.62971148376715
8310,2019-09-24,Jackson,404.6216874319891
8311,2019-09-24,Johnson,406.1672661919147
8312,2019-09-24,Lee,405.518600018695
8313,2019-09-24,Matagorda,405.61448698755095
8314,2019-09-24,McLennan,405.37090459491003
8315,2019-09-24,Milam,407.30272251824164
8316,2019-09-24,Tarrant,405.2533754888414
8317,2019-09-24,Wharton,403.9687757742488
